istaigos_kodas;gydytojo_ID;laisvos_registracijos;iraso_sukurimo_data
300520299;10000000;2022-09-20 12:30;2022-09-02 03:00:00
300520299;10000000;2022-09-21 07:15;2022-09-02 03:00:00
300520299;10000000;2022-09-21 07:30;2022-09-02 03:00:00
300520299;10000000;2022-09-21 07:45;2022-09-02 03:00:00
300520299;10000000;2022-09-21 09:00;2022-09-02 03:00:00
300520299;10000000;2022-09-21 09:15;2022-09-02 03:00:00
300520299;10000000;2022-09-21 09:30;2022-09-02 03:00:00
300520299;10000000;2022-09-21 09:45;2022-09-02 03:00:00
300520299;10000000;2022-09-21 10:00;2022-09-02 03:00:00
300520299;10000000;2022-09-21 10:15;2022-09-02 03:00:00
300520299;10000000;2022-09-21 10:30;2022-09-02 03:00:00
300520299;10000000;2022-09-21 10:45;2022-09-02 03:00:00
300520299;10000000;2022-09-21 11:30;2022-09-02 03:00:00
300520299;10000000;2022-09-21 11:45;2022-09-02 03:00:00
300520299;10000000;2022-09-21 12:15;2022-09-02 03:00:00
300520299;10000000;2022-09-21 12:30;2022-09-02 03:00:00
300520299;10000000;2022-09-22 09:00;2022-09-02 03:00:00
300520299;10000000;2022-09-22 09:15;2022-09-02 03:00:00
300520299;10000000;2022-09-22 09:30;2022-09-02 03:00:00
300520299;10000000;2022-09-22 09:45;2022-09-02 03:00:00
300520299;10000000;2022-09-22 10:00;2022-09-02 03:00:00
300520299;10000000;2022-09-22 10:15;2022-09-02 03:00:00
300520299;10000000;2022-09-22 10:30;2022-09-02 03:00:00
300520299;10000000;2022-09-22 10:45;2022-09-02 03:00:00
300520299;10000000;2022-09-22 11:30;2022-09-02 03:00:00
300520299;10000000;2022-09-22 11:45;2022-09-02 03:00:00
300520299;10000000;2022-09-22 12:00;2022-09-02 03:00:00
300520299;10000000;2022-09-22 12:15;2022-09-02 03:00:00
300520299;10000000;2022-09-22 12:30;2022-09-02 03:00:00
300520299;10000000;2022-09-23 07:15;2022-09-02 03:00:00
300520299;10000000;2022-09-23 07:30;2022-09-02 03:00:00
300520299;10000000;2022-09-23 07:45;2022-09-02 03:00:00
300520299;10000000;2022-09-23 09:15;2022-09-02 03:00:00
300520299;10000000;2022-09-23 09:30;2022-09-02 03:00:00
300520299;10000000;2022-09-23 09:45;2022-09-02 03:00:00
300520299;10000000;2022-09-23 10:00;2022-09-02 03:00:00
300520299;10000000;2022-09-23 10:15;2022-09-02 03:00:00
300520299;10000000;2022-09-23 10:30;2022-09-02 03:00:00
300520299;10000000;2022-09-23 10:45;2022-09-02 03:00:00
300520299;10000000;2022-09-23 11:30;2022-09-02 03:00:00
300520299;10000000;2022-09-23 11:45;2022-09-02 03:00:00
300520299;10000000;2022-09-23 12:00;2022-09-02 03:00:00
300520299;10000000;2022-09-23 12:15;2022-09-02 03:00:00
300520299;10000000;2022-09-23 12:30;2022-09-02 03:00:00
300520299;10000000;2022-09-26 07:15;2022-09-02 03:00:00
300520299;10000000;2022-09-26 07:30;2022-09-02 03:00:00
300520299;10000000;2022-09-26 07:45;2022-09-02 03:00:00
300520299;10000000;2022-09-26 09:00;2022-09-02 03:00:00
300520299;10000000;2022-09-26 09:45;2022-09-02 03:00:00
300520299;10000000;2022-09-26 10:00;2022-09-02 03:00:00
300520299;10000000;2022-09-26 10:15;2022-09-02 03:00:00
300520299;10000000;2022-09-26 10:30;2022-09-02 03:00:00
300520299;10000000;2022-09-26 10:45;2022-09-02 03:00:00
300520299;10000000;2022-09-26 11:30;2022-09-02 03:00:00
300520299;10000000;2022-09-26 11:45;2022-09-02 03:00:00
300520299;10000000;2022-09-26 12:00;2022-09-02 03:00:00
300520299;10000000;2022-09-26 12:15;2022-09-02 03:00:00
300520299;10000000;2022-09-26 12:30;2022-09-02 03:00:00
300520299;10000000;2022-09-27 07:15;2022-09-02 03:00:00
300520299;10000000;2022-09-27 07:30;2022-09-02 03:00:00
300520299;10000000;2022-09-27 07:45;2022-09-02 03:00:00
300520299;10000000;2022-09-27 09:15;2022-09-02 03:00:00
300520299;10000000;2022-09-27 09:30;2022-09-02 03:00:00
300520299;10000000;2022-09-27 09:45;2022-09-02 03:00:00
300520299;10000000;2022-09-27 10:00;2022-09-02 03:00:00
300520299;10000000;2022-09-27 10:15;2022-09-02 03:00:00
300520299;10000000;2022-09-27 10:30;2022-09-02 03:00:00
300520299;10000000;2022-09-27 10:45;2022-09-02 03:00:00
300520299;10000000;2022-09-27 11:30;2022-09-02 03:00:00
300520299;10000000;2022-09-27 11:45;2022-09-02 03:00:00
300520299;10000000;2022-09-27 12:00;2022-09-02 03:00:00
300520299;10000000;2022-09-27 12:15;2022-09-02 03:00:00
300520299;10000000;2022-09-27 12:30;2022-09-02 03:00:00
300520299;10000000;2022-09-28 07:15;2022-09-02 03:00:00
300520299;10000000;2022-09-28 07:30;2022-09-02 03:00:00
300520299;10000000;2022-09-28 07:45;2022-09-02 03:00:00
300520299;10000000;2022-09-28 09:15;2022-09-02 03:00:00
300520299;10000000;2022-09-28 09:30;2022-09-02 03:00:00
300520299;10000000;2022-09-28 09:45;2022-09-02 03:00:00
300520299;10000000;2022-09-28 10:00;2022-09-02 03:00:00
300520299;10000000;2022-09-28 10:15;2022-09-02 03:00:00
300520299;10000000;2022-09-28 10:30;2022-09-02 03:00:00
300520299;10000000;2022-09-28 10:45;2022-09-02 03:00:00
300520299;10000000;2022-09-28 11:30;2022-09-02 03:00:00
300520299;10000000;2022-09-28 11:45;2022-09-02 03:00:00
300520299;10000000;2022-09-28 12:00;2022-09-02 03:00:00
300520299;10000000;2022-09-28 12:15;2022-09-02 03:00:00
300520299;10000000;2022-09-28 12:30;2022-09-02 03:00:00
300520299;10000000;2022-09-29 07:15;2022-09-02 03:00:00
300520299;10000000;2022-09-29 07:30;2022-09-02 03:00:00
300520299;10000000;2022-09-29 07:45;2022-09-02 03:00:00
300520299;10000000;2022-09-29 09:00;2022-09-02 03:00:00
300520299;10000000;2022-09-29 09:15;2022-09-02 03:00:00
300520299;10000000;2022-09-29 09:30;2022-09-02 03:00:00
300520299;10000000;2022-09-29 09:45;2022-09-02 03:00:00
